ccdc_code,spacegroup,is_overlapped,line_direction,m,n,x,y,k,sigma,theta
ROJYEU,C 1 2/c 1,False,"(0, 1, 0)",10.326,10.327,20.6532720168016,8.702,0.9999868293604336,90.0,67.151
ROKDEB,C 1 2/c 1,False,"(0, 1, 0)",8.427,8.427,16.854355668491156,7.176,0.9999788975325932,90.0,66.939
ROLWUK,C 1 2/c 1,False,"(0, 1, 0)",12.073,12.074,24.1468030389118,7.159,1.000008156818436,90.0,73.488
ROLZAW,C 1 2/c 1,False,"(0, 1, 0)",13.073,13.075,26.148060616420487,7.984,0.9999976818005214,90.0,73.018
RONVOH,C 1 2/c 1,False,"(0, 1, 0)",10.875,10.876,21.751462134762345,10.76,0.9999787538529832,90.0,63.679
ROPKOZ,C 1 2/c 1,False,"(0, 1, 0)",14.701,14.702,29.40208240924441,9.623,1.0000312083594218,90.0,71.878
ROQWEC,C 1 2/c 1,False,"(0, 1, 0)",10.545,10.545,21.090591859879137,10.964,0.999971937256049,90.0,62.533
RORVUR,C 1 2/c 1,False,"(0, 1, 0)",9.983,9.984,19.96735257864697,5.802,0.9999823422436408,90.0,73.797
ROTFEO,C 1 2/c 1,False,"(0, 1, 0)",7.934,7.935,15.868792329600888,8.393,1.0000130867173,90.0,62.126
ROVJUJ,C 1 2/c 1,False,"(0, 1, 0)",10.567,10.568,21.134182383049502,7.798,1.0000386869449536,90.0,69.746
ROYCEP,C 1 2/c 1,False,"(0, 1, 0)",11.403,11.403,22.80532922367051,8.538,1.0000294131394865,90.0,69.477
ROYMAV,C 1 2/c 1,False,"(0, 1, 0)",13.545,13.546,27.0902881859902,8.846,1.0000262756160037,90.0,71.918
RUBTEQ,C 1 2/c 1,False,"(0, 1, 0)",10.587,10.589,21.175863665975942,11.128,1.0000064381801002,90.0,62.281
RUFCAX,C 1 2/c 1,False,"(0, 1, 0)",7.555,7.556,15.110853351151285,6.62,1.0000097048687662,90.0,66.343
RUFDAZ,C 1 2/c 1,False,"(0, 1, 0)",11.539,11.539,23.07821971036761,6.229,0.999990479752322,90.0,74.897
RUGMAH,C 1 2/c 1,False,"(0, 1, 0)",11.055,11.055,22.11012641302623,12.436,0.9999942825733392,90.0,60.642
RULCUW,C 1 2/c 1,False,"(0, 1, 0)",9.567,9.568,19.13556693698935,8.534,0.9999703726055664,90.0,65.965
RULKER,I 1 2/a 1,False,"(0, 1, 0)",9.494,9.494,18.9878310504386,5.431,1.0000088977809505,90.0,74.038
